"numMicroClusters","numMacroClusters","numClasses","SSQ","precision","purity","cRand"
56,18,4,80.3445842069403,0.377422072451559,0.94047619047619,0.0962174769416189
102,15,4,110.925847211474,0.600995024875622,0.9366391184573,0.325059761341751
141,17,4,132.513915058456,0.866715222141296,0.95,0.670230900825691
179,15,4,136.572293066325,0.923605150214592,0.943181818181818,0.665047381811412
197,15,4,141.169955227098,0.924927113702624,0.873015873015873,0.830423854964884
