"numMicroClusters","numMacroClusters","numClasses","SSQ","silhouette","precision","recall","F1","purity","cRand"
26,4,4,435.394076189682,0.311235228939943,0.630275745638717,0.758807588075881,0.688595142944974,0.726745014245014,0.538130837092782
58,4,4,361.392239514859,0.381499691827947,0.613484646194927,0.624745071380014,0.619063657797238,0.725407608695652,0.455903016628514
77,4,4,260.146271041261,0.307550618231376,0.709725315515961,0.558737580362361,0.625245258338784,0.797676282051282,0.46116261667116
101,4,4,460.302030315706,0.402432395179465,0.612945838837517,0.831541218637993,0.705703422053232,0.804745254745255,0.518052920212116
112,4,4,371.162162644979,0.367911333006181,0.593346911065852,0.577660277594184,0.585398526456798,0.755654761904762,0.406387545500989
