"numMicroClusters","numMacroClusters","numClasses","SSQ","silhouette","precision","recall","F1","purity","cRand"
90,7,5,0.0831424663435343,0.325926208451207,0.629940119760479,0.520792079207921,0.570189701897019,0.753912225340797,0.472827875182144
40,7,5,0.152444777387751,0.458119744384385,0.837284482758621,0.75,0.791242362525458,0.955769966788893,0.739773796176528
73,7,6,0.327699873763379,0.473938537577453,0.703742203742204,0.794600938967136,0.746416758544653,0.87781954887218,0.689784214062789
30,7,6,0.141276360316829,0.527023321132893,0.751418842224745,0.806333739342265,0.777908343125734,0.847614379084967,0.731868716411939
91,7,4,0.124304285853232,0.215823405715569,0.937014667817084,0.521613832853026,0.670163529774761,0.961821801891488,0.528250919106339
