"numMicroClusters","numMacroClusters","numClasses","SSQ","precision","purity","cRand","NA","NA","NA"
25,3,4,1.45970586297157,0.445006735024515,0.680170575692964,0.764376996805112,0.719819481007898,0.749725274725275,0.617410536157467
26,1,4,6.3102286466189,0.245810055865922,0.342105263157895,-0.00219780219780215,NA,NA,NA
26,1,4,6.31331159860804,0.246922024623803,0.476950354609929,0.00885345325015388,NA,NA,NA
28,1,4,6.27191297694216,0.245722531436817,0.646464646464646,0.00176860562264683,NA,NA,NA
28,1,4,6.30031129589484,0.247597765363128,0.352631578947368,0.00549121665582298,NA,NA,NA
