"numMicroClusters","numMacroClusters","numClasses","SSQ","silhouette","precision","recall","F1","purity","cRand"
100,3,3,1.25969437608248,0.580579808608681,0.868662186927306,0.862340812613705,0.865489957395009,0.929100441804616,0.798663350656316
100,3,3,1.04259787226115,0.604990631837766,0.944547134935305,0.938763012859767,0.941646191646192,0.968393613554904,0.913049362999911
100,3,3,2.50633123567793,0.363861500783406,0.530369194124653,0.809206541490006,0.640767386091127,0.781372549019608,0.398308730726867
100,3,3,0.981954308849811,0.600301323438382,0.941939468807906,0.94077729796422,0.941358024691358,0.969642857142857,0.912829512321671
99,3,3,1.10154421437396,0.598726095224421,0.903146206045651,0.904820766378245,0.903982710713183,0.950311737598265,0.857293084010058
